Latitude (decimal degrees):	6.524
Longitude (decimal degrees):	3.379
Elevation (m):	16
Radiation database:	PVGIS-SARAH3


Slope: 15 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20190108:0406,0.0,0.0,0.0,25.79,2.0,0.0
20190108:0506,0.0,0.0,0.0,25.58,1.72,0.0
20190108:0606,0.0,0.0,0.0,25.64,1.72,0.0
20190108:0706,149.52,210.39,14.37,25.4,1.72,0.0
20190108:0806,360.27,470.62,27.65,26.51,1.86,0.0
20190108:0906,524.95,699.18,40.19,28.22,1.45,0.0
20190108:1006,629.78,871.82,51.23,29.8,0.9,0.0
20190108:1106,678.05,973.54,59.09,31.04,0.34,0.0
20190108:1206,709.08,1001.2,61.03,32.05,1.45,0.0
20190108:1306,675.51,929.11,56.01,32.75,2.62,0.0
20190108:1406,592.99,797.47,46.39,32.9,3.38,0.0
20190108:1506,362.17,479.73,34.52,32.6,3.93,0.0
20190108:1606,244.93,330.4,21.58,31.54,4.41,0.0
20190108:1706,52.96,90.45,8.1,30.06,4.28,0.0
20190108:1806,0.0,0.0,0.0,28.8,3.72,0.0
20190108:1906,0.0,0.0,0.0,28.19,3.38,0.0
20190108:2006,0.0,0.0,0.0,27.7,3.38,0.0
20190108:2106,0.0,0.0,0.0,27.33,3.38,0.0
20190108:2206,0.0,0.0,0.0,27.02,3.24,0.0
20190108:2306,0.0,0.0,0.0,26.86,3.1,0.0
20190109:0006,0.0,0.0,0.0,26.68,2.69,0.0
20190109:0106,0.0,0.0,0.0,26.27,1.93,0.0
20190109:0206,0.0,0.0,0.0,25.66,1.86,0.0
20190109:0306,0.0,0.0,0.0,25.33,2.28,0.0
20190109:0406,0.0,0.0,0.0,25.07,2.21,0.0
20190109:0506,0.0,0.0,0.0,24.87,1.93,0.0
20190109:0606,0.0,0.0,0.0,24.7,1.86,0.0
20190109:0706,144.47,203.36,14.31,24.94,1.59,0.0
20190109:0806,347.39,456.2,27.61,26.47,1.24,0.0
20190109:0906,514.81,689.68,40.18,28.12,0.97,0.0
20190109:1006,620.34,866.13,51.26,29.82,0.48,0.0
20190109:1106,682.8,967.78,59.18,31.09,0.83,0.0
20190109:1206,720.55,1001.38,61.17,32.13,2.34,0.0
20190109:1306,683.87,929.31,56.18,32.59,3.52,0.0
20190109:1406,595.44,793.9,46.55,32.5,4.07,0.0
20190109:1506,446.65,586.93,34.66,31.97,4.41,0.0
20190109:1606,255.38,342.77,21.71,30.98,4.55,0.0
20190109:1706,54.89,93.0,8.21,29.73,4.55,0.0
20190109:1806,0.0,0.0,0.0,28.59,4.34,0.0
20190109:1906,0.0,0.0,0.0,27.88,3.72,0.0
20190109:2006,0.0,0.0,0.0,27.42,3.72,0.0
20190109:2106,0.0,0.0,0.0,27.1,3.86,0.0
20190109:2206,0.0,0.0,0.0,26.85,4.07,0.0
20190109:2306,0.0,0.0,0.0,26.68,4.14,0.0
20190110:0006,0.0,0.0,0.0,26.57,4.0,0.0
20190110:0106,0.0,0.0,0.0,26.45,3.66,0.0
20190110:0206,0.0,0.0,0.0,26.34,3.17,0.0
20190110:0306,0.0,0.0,0.0,26.23,2.48,0.0
20190110:0406,0.0,0.0,0.0,25.77,1.59,0.0
20190110:0506,0.0,0.0,0.0,25.25,1.24,0.0
20190110:0606,0.0,0.0,0.0,25.09,1.17,0.0
20190110:0706,140.18,198.73,14.26,25.69,1.24,0.0
20190110:0806,340.63,447.85,27.57,27.53,1.72,0.0
20190110:0906,508.55,671.03,40.17,28.9,2.34,0.0
20190110:1006,624.35,838.37,51.3,29.79,2.55,0.0
20190110:1106,686.92,931.73,59.28,30.64,2.97,0.0
20190110:1206,698.72,948.21,61.33,31.15,3.31,0.0
20190110:1306,674.2,907.79,56.35,31.44,3.66,0.0
20190110:1406,585.07,775.45,46.71,31.3,3.93,0.0
20190110:1506,439.97,576.59,34.81,31.12,4.14,0.0
20190110:1606,225.43,303.76,21.84,30.52,4.21,0.0
20190110:1706,53.05,89.91,8.33,29.56,3.66,0.0
20190110:1806,0.0,0.0,0.0,28.64,2.97,0.0
20190110:1906,0.0,0.0,0.0,27.86,2.97,0.0
20190110:2006,0.0,0.0,0.0,27.38,2.97,0.0
20190110:2106,0.0,0.0,0.0,27.11,2.9,0.0
20190110:2206,0.0,0.0,0.0,26.83,2.9,0.0
20190110:2306,0.0,0.0,0.0,26.67,3.03,0.0
20190111:0006,0.0,0.0,0.0,26.51,3.24,0.0
20190111:0106,0.0,0.0,0.0,26.4,3.38,0.0
20190111:0206,0.0,0.0,0.0,26.32,3.17,0.0
20190111:0306,0.0,0.0,0.0,26.28,2.76,0.0
20190111:0406,0.0,0.0,0.0,26.31,2.07,0.0
20190111:0506,0.0,0.0,0.0,26.17,1.59,0.0
20190111:0606,0.0,0.0,0.0,25.89,1.52,0.0
20190111:0706,136.68,194.56,14.2,26.46,1.86,0.0
20190111:0806,335.87,441.17,27.54,27.54,1.86,0.0
20190111:0906,489.74,649.86,40.17,28.72,1.66,0.0
20190111:1006,615.14,835.87,51.34,29.92,1.72,0.0
20190111:1106,681.73,935.59,59.38,30.83,2.21,0.0
20190111:1206,699.94,958.27,61.49,31.56,2.83,0.0
20190111:1306,664.15,901.24,56.53,31.7,3.03,0.0
20190111:1406,574.91,768.86,46.88,31.66,3.1,0.0
20190111:1506,430.19,567.93,34.96,31.44,3.24,0.0
20190111:1606,244.19,328.77,21.97,30.76,3.66,0.0
20190111:1706,58.43,98.01,8.45,29.83,3.86,0.0
20190111:1806,0.0,0.0,0.0,28.72,3.59,0.0
20190111:1906,0.0,0.0,0.0,28.11,3.24,0.0
20190111:2006,0.0,0.0,0.0,27.67,3.38,0.0
20190111:2106,0.0,0.0,0.0,27.4,3.66,0.0
20190111:2206,0.0,0.0,0.0,27.21,3.72,0.0
20190111:2306,0.0,0.0,0.0,27.02,3.59,0.0
20190112:0006,0.0,0.0,0.0,26.82,3.24,0.0
20190112:0106,0.0,0.0,0.0,26.68,2.97,0.0
20190112:0206,0.0,0.0,0.0,26.58,2.76,0.0
20190112:0306,0.0,0.0,0.0,26.39,2.69,0.0
20190112:0406,0.0,0.0,0.0,26.34,2.62,0.0
20190112:0506,0.0,0.0,0.0,26.35,2.48,0.0
20190112:0606,0.0,0.0,0.0,26.39,2.41,0.0
20190112:0706,138.22,196.45,14.15,26.52,2.55,0.0
20190112:0806,344.31,450.58,27.51,27.31,2.21,0.0
20190112:0906,446.39,590.33,40.17,28.69,1.72,0.0
20190112:1006,590.13,802.66,51.39,30.0,1.52,0.0
20190112:1106,631.89,876.18,59.49,31.43,1.45,0.0
20190112:1206,681.58,946.84,61.66,32.54,2.14,0.0
20190112:1306,658.9,902.27,56.71,33.24,2.97,0.0
20190112:1406,569.0,760.64,47.04,33.24,4.0,0.0
20190112:1506,428.86,562.13,35.11,32.19,5.1,0.0
20190112:1606,233.73,313.8,22.1,30.82,5.24,0.0
20190112:1706,47.12,80.83,8.56,29.68,4.83,0.0
20190112:1806,0.0,0.0,0.0,28.81,4.62,0.0
20190112:1906,0.0,0.0,0.0,28.35,4.41,0.0
20190112:2006,0.0,0.0,0.0,28.05,4.34,0.0
20190112:2106,0.0,0.0,0.0,27.8,4.07,0.0
20190112:2206,0.0,0.0,0.0,27.56,3.86,0.0
20190112:2306,0.0,0.0,0.0,27.32,3.38,0.0
20190113:0006,0.0,0.0,0.0,27.2,3.1,0.0
20190113:0106,0.0,0.0,0.0,27.03,3.03,0.0
20190113:0206,0.0,0.0,0.0,26.92,3.03,0.0
20190113:0306,0.0,0.0,0.0,26.79,3.03,0.0
20190113:0406,0.0,0.0,0.0,26.71,2.76,0.0
20190113:0506,0.0,0.0,0.0,26.56,2.48,0.0
20190113:0606,0.0,0.0,0.0,26.59,2.07,0.0
20190113:0706,141.21,200.91,14.11,26.68,2.14,0.0
20190113:0806,332.9,435.65,27.49,28.09,2.9,0.0
20190113:0906,425.21,557.98,40.18,29.15,2.76,0.0
20190113:1006,504.28,670.42,51.44,30.35,2.83,0.0
20190113:1106,481.72,642.89,59.61,31.19,3.1,0.0
20190113:1206,670.98,908.15,61.84,32.11,3.72,0.0
20190113:1306,661.34,889.6,56.9,32.4,4.14,0.0
20190113:1406,603.01,801.28,47.21,32.42,4.48,0.0
20190113:1506,454.04,594.93,35.26,31.89,4.83,0.0
20190113:1606,261.69,350.18,22.23,30.99,4.9,0.0
20190113:1706,59.6,99.26,8.68,29.92,4.62,0.0
20190113:1806,0.0,0.0,0.0,29.0,4.07,0.0
20190113:1906,0.0,0.0,0.0,28.41,3.45,0.0
20190113:2006,0.0,0.0,0.0,28.04,3.52,0.0
20190113:2106,0.0,0.0,0.0,27.76,3.66,0.0
20190113:2206,0.0,0.0,0.0,27.54,3.93,0.0
20190113:2306,0.0,0.0,0.0,27.4,4.28,0.0
20190114:0006,0.0,0.0,0.0,27.29,4.48,0.0
20190114:0106,0.0,0.0,0.0,27.24,4.48,0.0
20190114:0206,0.0,0.0,0.0,27.15,4.21,0.0
20190114:0306,0.0,0.0,0.0,27.03,3.79,0.0
20190114:0406,0.0,0.0,0.0,26.99,3.31,0.0
20190114:0506,0.0,0.0,0.0,26.74,3.03,0.0
20190114:0606,0.0,0.0,0.0,26.47,2.76,0.0
20190114:0706,149.75,212.27,14.06,27.15,3.52,0.0
20190114:0806,214.63,285.14,27.47,27.87,3.59,0.0
20190114:0906,310.01,407.24,40.19,29.0,3.31,0.0
20190114:1006,339.73,449.41,51.5,30.06,3.17,0.0
20190114:1106,458.79,609.02,59.73,31.0,3.52,0.0
20190114:1206,523.59,695.23,62.02,31.34,4.14,0.0
20190114:1306,492.47,648.33,57.09,31.18,4.9,0.0
20190114:1406,453.96,589.55,47.39,29.52,5.1,0.0
20190114:1506,419.19,542.41,35.41,28.96,4.55,0.0
20190114:1606,151.65,208.57,22.37,29.19,4.62,0.0
20190114:1706,65.28,107.12,8.8,28.95,4.55,0.0
20190114:1806,0.0,0.0,0.0,28.4,4.0,0.0
20190114:1906,0.0,0.0,0.0,27.93,3.17,0.0
20190114:2006,0.0,0.0,0.0,27.59,2.9,0.0
20190114:2106,0.0,0.0,0.0,27.4,2.83,0.0
20190114:2206,0.0,0.0,0.0,27.2,2.9,0.0
20190114:2306,0.0,0.0,0.0,27.04,3.1,0.0
20190115:0006,0.0,0.0,0.0,26.95,3.24,0.0
20190115:0106,0.0,0.0,0.0,26.96,3.31,0.0
20190115:0206,0.0,0.0,0.0,26.9,3.1,0.0
20190115:0306,0.0,0.0,0.0,26.91,2.69,0.0
20190115:0406,0.0,0.0,0.0,26.67,1.86,0.0
20190115:0506,0.0,0.0,0.0,26.16,1.52,0.0
20190115:0606,0.0,0.0,0.0,25.8,1.17,0.0
20190115:0706,132.83,190.02,14.02,26.46,1.66,0.0
20190115:0806,288.12,380.23,27.45,27.26,1.45,0.0
20190115:0906,318.21,420.02,40.21,28.07,1.66,0.0
20190115:1006,531.51,707.81,51.56,28.9,2.14,0.0
20190115:1106,475.18,633.24,59.86,29.89,2.48,0.0
20190115:1206,655.6,884.44,62.21,30.45,3.1,0.0
20190115:1306,684.93,919.38,57.29,30.66,3.66,0.0
20190115:1406,578.71,762.73,47.56,30.5,4.07,0.0
20190115:1506,460.42,599.43,35.56,30.05,4.34,0.0
20190115:1606,266.29,354.01,22.5,29.34,4.14,0.0
20190115:1706,63.8,104.84,8.91,28.8,3.86,0.0
20190115:1806,0.0,0.0,0.0,28.16,3.38,0.0
20190115:1906,0.0,0.0,0.0,27.61,3.24,0.0
20190115:2006,0.0,0.0,0.0,27.26,3.31,0.0
20190115:2106,0.0,0.0,0.0,27.08,3.52,0.0
20190115:2206,0.0,0.0,0.0,27.01,3.72,0.0
20190115:2306,0.0,0.0,0.0,26.98,3.86,0.0
20190116:0006,0.0,0.0,0.0,27.02,3.72,0.0
20190116:0106,0.0,0.0,0.0,27.05,3.1,0.0
20190116:0206,0.0,0.0,0.0,26.96,2.07,0.0
20190116:0306,0.0,0.0,0.0,26.68,1.52,0.0
20190116:0406,0.0,0.0,0.0,26.44,1.17,0.0
20190116:0506,0.0,0.0,0.0,26.14,1.17,0.0
20190116:0606,0.0,0.0,0.0,25.72,1.03,0.0
20190116:0706,0.0,0.0,0.0,26.63,1.72,0.0
20190116:0806,341.84,449.74,27.44,27.47,1.66,0.0
20190116:0906,489.8,648.48,40.22,28.11,1.59,0.0
20190116:1006,480.65,639.63,51.63,29.02,1.93,0.0
20190116:1106,620.38,838.52,60.0,29.64,2.28,0.0
20190116:1206,663.13,898.53,62.4,30.07,2.69,0.0
20190116:1306,573.5,765.21,57.49,30.08,3.03,0.0
20190116:1406,537.41,708.81,47.74,30.24,3.59,0.0
20190116:1506,386.6,505.02,35.71,29.97,3.93,0.0
20190116:1606,197.25,266.26,22.63,29.61,4.41,0.0
20190116:1706,43.67,74.81,9.02,28.98,4.21,0.0
20190116:1806,0.0,0.0,0.0,28.19,3.86,0.0
20190116:1906,0.0,0.0,0.0,27.66,3.66,0.0
20190116:2006,0.0,0.0,0.0,27.38,3.72,0.0
20190116:2106,0.0,0.0,0.0,27.2,4.0,0.0
20190116:2206,0.0,0.0,0.0,27.1,4.07,0.0
20190116:2306,0.0,0.0,0.0,26.99,3.93,0.0
20190117:0006,0.0,0.0,0.0,26.95,3.38,0.0
20190117:0106,0.0,0.0,0.0,27.06,2.76,0.0
20190117:0206,0.0,0.0,0.0,26.95,2.34,0.0
20190117:0306,0.0,0.0,0.0,26.56,2.21,0.0
20190117:0406,0.0,0.0,0.0,26.34,2.28,0.0
20190117:0506,0.0,0.0,0.0,25.88,2.28,0.0
20190117:0606,0.0,0.0,0.0,25.85,2.34,0.0
20190117:0706,137.86,196.62,13.95,26.47,2.55,0.0
20190117:0806,297.96,389.26,27.43,27.4,3.17,0.0
20190117:0906,462.92,605.3,40.25,28.45,2.83,0.0
20190117:1006,559.54,747.07,51.7,29.24,2.28,0.0
20190117:1106,626.98,846.36,60.14,29.61,2.41,0.0
20190117:1206,693.97,943.43,62.6,29.97,2.69,0.0
20190117:1306,667.28,895.83,57.69,30.21,3.31,0.0
20190117:1406,573.99,757.67,47.92,30.46,3.86,0.0
20190117:1506,422.82,549.86,35.86,29.83,4.41,0.0
20190117:1606,174.96,237.39,22.76,29.09,4.9,0.0
20190117:1706,52.91,88.18,9.14,28.59,4.83,0.0
20190117:1806,0.0,0.0,0.0,27.94,4.14,0.0
20190117:1906,0.0,0.0,0.0,27.59,3.86,0.0
20190117:2006,0.0,0.0,0.0,27.4,4.28,0.0
20190117:2106,0.0,0.0,0.0,27.23,4.55,0.0
20190117:2206,0.0,0.0,0.0,27.27,4.69,0.0
20190117:2306,0.0,0.0,0.0,27.2,4.62,0.0
20190118:0006,0.0,0.0,0.0,27.21,4.34,0.0
20190118:0106,0.0,0.0,0.0,27.17,4.0,0.0
20190118:0206,0.0,0.0,0.0,27.05,3.59,0.0
20190118:0306,0.0,0.0,0.0,26.92,3.31,0.0
20190118:0406,0.0,0.0,0.0,26.64,3.1,0.0
20190118:0506,0.0,0.0,0.0,26.59,2.69,0.0
20190118:0606,0.0,0.0,0.0,26.47,2.34,0.0
20190118:0706,96.3,141.29,13.92,26.88,2.55,0.0
20190118:0806,337.21,440.23,27.42,28.05,3.31,0.0
20190118:0906,413.3,539.63,40.28,29.14,3.45,0.0
20190118:1006,522.28,688.39,51.78,29.83,3.59,0.0
20190118:1106,708.0,949.89,60.29,30.46,3.93,0.0
20190118:1206,714.93,957.17,62.81,30.58,4.34,0.0
20190118:1306,659.8,874.59,57.9,30.83,4.83,0.0
20190118:1406,610.88,799.83,48.1,30.43,5.1,0.0
20190118:1506,466.75,603.57,36.02,29.68,5.24,0.0
20190118:1606,245.4,326.18,22.89,29.34,5.03,0.0
20190118:1706,60.8,99.69,9.25,29.03,4.62,0.0
20190118:1806,0.0,0.0,0.0,28.47,4.21,0.0
20190118:1906,0.0,0.0,0.0,28.0,3.38,0.0
20190118:2006,0.0,0.0,0.0,27.71,3.59,0.0
20190118:2106,0.0,0.0,0.0,27.53,3.93,0.0
20190118:2206,0.0,0.0,0.0,27.47,4.28,0.0
20190118:2306,0.0,0.0,0.0,27.35,4.41,0.0
20190119:0006,0.0,0.0,0.0,27.26,4.28,0.0
20190119:0106,0.0,0.0,0.0,27.12,4.07,0.0
20190119:0206,0.0,0.0,0.0,26.97,3.79,0.0
20190119:0306,0.0,0.0,0.0,26.8,3.31,0.0
20190119:0406,0.0,0.0,0.0,26.72,2.83,0.0
20190119:0506,0.0,0.0,0.0,26.51,2.62,0.0
20190119:0606,0.0,0.0,0.0,26.31,2.28,0.0
20190119:0706,136.22,195.11,13.89,26.61,2.07,0.0
20190119:0806,348.83,456.31,27.42,27.6,2.55,0.0
